Timestamp,Score,1. Select the technology that you have used the most from the list below,2. Select the category that you most use your phone for. You may select more than one.,Who do you believe should be most responsible for the spread of biased or incorrect content on Facebook's news feed?,"4. Please indicate how much you agree or disagree with the statement: I am comfortable with the use of emerging technologies (Chatbots, RoboAdvisors or VR etc.)",5. Please indicate how much you agree or disagree with the statement: Chatbots are likely to be more efficient than human beings in responding to customer service complaints,6. Please indicate how much you agree or disagree with the statement: I am likely to consider an investment opportunity recommended by  an algorithm,"7. Please indicate how much you agree or disagree with the statement: I am afraid that emerging technologies (Chatbots, self driving cars, Robo Advisors) are going to replace the need for humans in places of employment","8. In March 2018, a woman was hit and killed by a self driving car. What do you view as the most appropriate next step?",9. Which emerging technology has been the most useful to you,"10. Would you trust emerging technologies (Robo advisors, chatbots, self driving cars) enough to include them in your personal life, and why?"
2018-09-21T16:38:33Z,0,VR (Oculus rift),"Social media (Facebook, Instagram, LinkedIn,Snap, etc), Health tracker, Messaging apps (Whatsapp, Wechat, e.t.c.), Web browsing, Entertainment (music, video, gaming)",No opinion,Agree,Disagree,Disagree,Disagree,Further moral and ethical study of automation needs to be undertaken for critical industries,VR,"Maybe in future, I will trust these emerging technologies, but now I think the techniques are not good enough"
2018-09-21T16:42:07Z,0,Bitcoins or other crypto currencies,"Social media (Facebook, Instagram, LinkedIn,Snap, etc), Messaging apps (Whatsapp, Wechat, e.t.c.), Web browsing",Facebook CEO,Neither Agree or Disagree,Disagree,Neither Agree or Disagree,Disagree,"Multiple of above options. Government should regulate, company should be help responsible, inidents will lessen overtime but doesn’t absolve responsibility",None? (Of the “emerging technologies” listed above?,Self driving cars if available /provided cost/efficiency benenefit over alternatives (car owenership). Would evaluate each use-case individually rather than holistically to include in my personal life
2018-09-21T16:47:41Z,0,Haven't used any of the above,"Social media (Facebook, Instagram, LinkedIn,Snap, etc), Daily Planner, Health tracker, Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation, Web browsing, Entertainment (music, video, gaming)",Users themselves,Agree,Disagree,Disagree,Disagree,Further moral and ethical study of automation needs to be undertaken for critical industries,Hydrogen powered cars,"No, they make us think less"
2018-09-21T18:14:06Z,0,Bitcoins or other crypto currencies,"Social media (Facebook, Instagram, LinkedIn,Snap, etc), Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation, Web browsing, Entertainment (music, video, gaming)",Engineers that build the algorithm,Agree,Agree,Agree,Neither Agree or Disagree,These incidents will lessen as engineering becomes more sophisticated,Not sure,"Yes, not right now, but eventually. However, I don't like that they'll track my data and probably sell it."
2018-09-21T19:22:41Z,0,"Home virtual assitants (Google home, Alexa)","Social media (Facebook, Instagram, LinkedIn,Snap, etc), Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation, Entertainment (music, video, gaming)",No opinion,Neither Agree or Disagree,Disagree,Agree,Disagree,These incidents will lessen as engineering becomes more sophisticated,Google Home,"As an engineer, I'm happy to trust and to use emerging technologies that I think is the tech inside is ready and mature. Because the emerging is inevitable and I don't want to be left behind."
2018-09-21T20:05:38Z,0,Haven't used any of the above,"Social media (Facebook, Instagram, LinkedIn,Snap, etc), Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation, Web browsing, Entertainment (music, video, gaming)",Government - Lack of regulations,Agree,Strongly Disagree,Disagree,Strongly Disagree,Further moral and ethical study of automation needs to be undertaken for critical industries,Mobile phone camera delivering DSLR quality,"I would, but again the problem of privacy seeps in"
2018-09-21T20:37:09Z,0,VR (Oculus rift),Navigation,Government - Lack of regulations,Agree,Disagree,Disagree,Disagree,Further moral and ethical study of automation needs to be undertaken for critical industries,Chatbots have been okay.,"No! because emerging technologies lack the ability to make sound decisions when confronted with totally new information (an edge case that wasn't considered at the time of inception). Sure, they learn over time, but I wouldn't risk it."
2018-09-22T09:12:56Z,0,Haven't used any of the above,"Daily Planner, Navigation",Facebook CEO,Agree,Strongly Disagree,Disagree,Strongly Disagree,a combination of several of the above answers,"I'm not sure what ""emerging technology"" refers to.",Depends on which ones.
2018-09-22T11:07:11Z,0,"Wearables (fitbit, Apple watch)","Social media (Facebook, Instagram, LinkedIn,Snap, etc), Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation, Web browsing, Entertainment (music, video, gaming)",Government - Lack of regulations,Agree,Neither Agree or Disagree,Disagree,Agree,Government should regulate these new technologies,Machine Learning Algorithms that help recommend the next Netflix show I should watch based on my interests.,"Yes, because they will make my life easier and while my main concern is on privacy, their ability to make my life easier outweighs those concerns."
2018-09-22T11:45:46Z,0,VR (Oculus rift),"Social media (Facebook, Instagram, LinkedIn,Snap, etc), Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation, Web browsing",The company's miss as well as users' lack of active probing,Disagree,Disagree,Neither Agree or Disagree,Strongly Disagree,These incidents will lessen as engineering becomes more sophisticated,NLP in google search,"yep, while they are still maturing, I totally see them becoming a part of our lives, sooner or later- it doesnt mean that they would replace human jobs etc but they will be indispensable assistants! (just like mobile phones)"
2018-09-22T17:54:17Z,0,"Wearables (fitbit, Apple watch)","Daily Planner, Messaging apps (Whatsapp, Wechat, e.t.c.), Web browsing, Entertainment (music, video, gaming)",Policies that govern  platforms like Facebook,Disagree,Disagree,Strongly Disagree,Neither Agree or Disagree,Further moral and ethical study of automation needs to be undertaken for critical industries,Wearables and physical health trackers,"I'd be cautious before I include them. Being informed in how one's PI information can be misused, I'd investigate into who created the technology, with what intended purpose and what regulations govern it before including it into my life."
2018-09-22T18:13:52Z,0,"Home virtual assitants (Google home, Alexa)","Social media (Facebook, Instagram, LinkedIn,Snap, etc), Daily Planner, Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation",Engineers that build the algorithm,Disagree,Disagree,Strongly disagree,Strongly disagree,These incidents will lessen as engineering becomes more sophisticated,"Smart speakers have been the most useful emerging tachnology because it allows me to multi task more efficiently. It allows me to browse the web in a sense, look up references, check out current events, shop or call a cab and provide entertainment just by voice commands allowing to also other tasks at the same time.","I trust emerging technologies to use them to some extent in my life as I believe that using tech in the right amounts can make me more efficient. I would not use technology that is being provided as a service like a chatbot as much as I would use technology that I can buy and own like a product (drones, wearables, self-driving cars, etc)"
2018-09-22T20:28:20Z,0,"Wearables (fitbit, Apple watch)","Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation, Web browsing, Entertainment (music, video, gaming)",Engineers that build the algorithm,Neither Agree or Disagree,Agree,Neither Agree or Disagree,Agree,Restrict automation to only certain contexts,Uber,"Probably not, because I feel that the technologies are nascent and might be fool-proof"
2018-09-22T20:50:48Z,0,Haven't used any of the above,"Social media (Facebook, Instagram, LinkedIn,Snap, etc), Navigation, Web browsing, Entertainment (music, video, gaming)",No opinion,Disagree,Strongly Disagree,Disagree,Strongly Disagree,Government should regulate these new technologies,"I am not a consumer of emerging technologies, although I enjoy researching them and reading about how to regulate their usage.","No, I believe that human intelligence is a core enabler of any technology, and nothing can completely replace humans."
2018-09-23T11:12:31Z,0,"Wearables (fitbit, Apple watch)","Social media (Facebook, Instagram, LinkedIn,Snap, etc), Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation, Web browsing",Engineers that build the algorithm,Strongly disagree,Disagree,Agree,Strongly disagree,Further moral and ethical study of automation needs to be undertaken for critical industries,Drones (I don't own any drone but I think drones can do things that are physically difficult to humans),"I still cannot 100% rely on services based on AI, but if there's human back-up I would definitely include them in my personal life. I see the AI or emerging technology assist human workers rather than taking their jobs, which will positively affect productivity and the quality of output as well."
2018-09-23T13:20:21Z,0,Bitcoins or other crypto currencies,"Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation",Government - Lack of regulations,Agree,Agree,Agree,Strongly Disagree,These incidents will lessen as engineering becomes more sophisticated,the increasing sophistication of web search algorithms,"Yes, they free me from mundane tasks."
2018-09-23T15:45:13Z,0,Haven't used any of the above,"Daily Planner, Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation",Users themselves,Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Disagree,Further moral and ethical study of automation needs to be undertaken for critical industries,Scannable! This app is genius.,I would say not yet. There is not enough experience and algorithm has not yet fully proven.
2018-09-23T15:57:38Z,0,Haven't used any of the above,"Social media (Facebook, Instagram, LinkedIn,Snap, etc), Daily Planner, Messaging apps (Whatsapp, Wechat, e.t.c.), Web browsing",Engineers that build the algorithm,Agree,Disagree,Agree,Agree,Further moral and ethical study of automation needs to be undertaken for critical industries,AI recommendations,"I would if I understood their features completely, in that their features are completely transparent. I'd like to know what data they're collecting and what information their dataset consists of. I also want to have the option to stop using them if I want to."
2018-09-23T19:09:54Z,0,"Home virtual assitants (Google home, Alexa)","Social media (Facebook, Instagram, LinkedIn,Snap, etc), Daily Planner, Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation, Web browsing, Entertainment (music, video, gaming)",Users themselves,Strongly disagree,Agree,Agree,Agree,These incidents will lessen as engineering becomes more sophisticated,alexa,yes because they solve problems more efficiently than humans
2018-09-23T21:11:29Z,0,"Home virtual assitants (Google home, Alexa)","Social media (Facebook, Instagram, LinkedIn,Snap, etc), Daily Planner, Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation, Web browsing, Entertainment (music, video, gaming)",All of the above,Strongly disagree,Neither Agree or Disagree,Neither Agree or Disagree,Neither Agree or Disagree,Almost all of the above,My smartphone and children's Gizmo watches,"For the most part, yes. Though a speculated Utopia, I think tech provides the ability to replace human-labor so humans can live more freely (e.g., liesure, family time, etc.) (mostly thinking in Marx's terms)"
2018-09-23T22:10:44Z,0,Haven't used any of the above,"Social media (Facebook, Instagram, LinkedIn,Snap, etc), Messaging apps (Whatsapp, Wechat, e.t.c.), Navigation, Web browsing, Entertainment (music, video, gaming)",Government - Lack of regulations,Agree,Agree,Agree,Disagree,These incidents will lessen as engineering becomes more sophisticated,N/A,Chatbots. They will become smarter and smarter.
